Arquivo,Parágrafo,Número do parágrafo,Pergunta
entre_outras_protocolo_1.txt,"No entanto, já foram descritas na literatura discrepâncias entre a atividade do fármaco in vitro e in vivo, sendo o valor desses testes ainda incerto (62,63). conjunta da American Thoracic Society/Infectious Diseases Society of America (ATS/ IDSA) (64).",252,What is the atividade do fármaco in vitro and in vivo?
entre_outras_protocolo_1.txt,"Com relação às MCL, os testes são aplicáveis para as espécies do CMA e M. kansasii (Quadros 4 e 5).",253,What testes are applicable to the CMA and M. kansasii?
entre_outras_protocolo_1.txt,Não existem dados consistentes para que os mesmos critérios interpretativos possam ser utilizados para outras espécies de MCL.,254,What are the consistent dados for?
entre_outras_protocolo_1.txt,"No entanto, algumas espécies pertencentes ao Complexo Mycobacterium terrae, Mycobacterium xenopi, Mycobacterium celatum, Mycobacterium malmoense e Mycobacterium simiae, quando em casos confirmados, podem ser testadas utilizando-se os critérios usados para M. kansasii mostrados no Quadro 6.",255,What bacteria is found in the Quadro 6?
entre_outras_protocolo_1.txt,"Para as micobactérias fastidiosas, como Mycobacterium haemophilum, Mycobacterium genavense e Mycobacterium ulcerans, o teste não é recomendado.",256,What bacteria is Mycobacterium haemophilum?
entre_outras_protocolo_1.txt,"Para as MCR, há uma padronização pelo CLSI, que deve ser usada apenas quando houver significado clínico (Quadro 7) (61,65).",257,What is the CLSI?
entre_outras_protocolo_1.txt,"A MIC é expressa em µg/mL e não é um valor absoluto, mas um valor próximo do “valor verdadeiro”.",258,What is the MIC?
entre_outras_protocolo_1.txt,O valor final estará entre a mais baixa concentração do fármaco que inibe o crescimento visível e a próxima concentração inferior a esta.,259,What is the final valor?
entre_outras_protocolo_1.txt,"Por exemplo: se um poço da placa inoculada com a concentração de 4µg/mL está, aparentemente, sem crescimento, a MIC verdadeira é algo entre 4 e 2µg/mL, uma vez que o fator de diluição dos fármacos é 2, por exemplo: 1, 2, 4, 8, 16 e 32µg/mL (61).",260,What is the MIC verdadeira?
entre_outras_protocolo_1.txt,"O resultado para Imp não se aplica ao meropenem (Mpm) e ao ertapenem (Ert). “In vitro” o Lzd ≤8 16 ≥32 _ Mpm ≤4 8-16 ≥32 _ Mfx ≤1 2 ≥4 _ A MIC indica inibição de 80% do SMT/TMP ≤2/38 - ≥4/76 Tigeciclina (Tgc) - - - do teste e a resposta clínica. reportado, quando necessário Tobramicina (Tbm) ≤2 4 ≥8 tratar M. chelonae 5 5 das doenças do tórax.",262,What is the name of the test that can be used to treat M. chelonae?
entre_outras_protocolo_1.txt,"O exame radiográfico, pelo seu custo reduzido, ampla disponibilidade e baixa dose de radiação, é a primeira etapa na investigação das doenças respiratórias, entre as quais as infecções por MNT.",263,What is the first step in the investigation of respiration?
entre_outras_protocolo_1.txt,"As formas de apresentação radiológica das lesões variam conforme a imunidade, a virulência da micobactéria e a estrutura pulmonar de base, a exemplo de presença de cicatriz de TB ou bronquiectasias.",264,What is the apresentaço radiológica das leses variam conforme a imunidade?
entre_outras_protocolo_1.txt,"A tomografia computadorizada (TC), apesar do custo mais alto, tem maior com MNT.",265,What is the name of the computer that can be used to make a computer?
entre_outras_protocolo_1.txt,"A maioria das tomografias realizadas para avaliação de doenças infecciosas do parênquima pulmonar dispensa o uso de meio de contraste endovenoso. ou apresentar alterações de difícil caracterização, como, por exemplo, doença acometendo predominantemente as vias aéreas (bronquiectasias e opacidades centrolobulares com aspecto de árvore em brotamento). o radiologista emita laudo comparativo e avalie o caráter evolutivo das alterações.",266,What is the main difference between the tomography and the other?
entre_outras_protocolo_1.txt,"Os estudos de imagem não firmam o diagnóstico, mas o conjunto de características das alterações permite ao médico radiologista sugerir a patologia mais provável. apresentação semelhante, como TB e doença por MNT ou por fungos.",267,What is a symptom of TB?
entre_outras_protocolo_1.txt,"Geralmente, não é possível, por características radiológicas, distinguir entre a infecção causada por TB e as infecções causadas por diferentes espécies de MNT. doença pulmonar por MNT (66,67), a seguir descritas. 5.1 Lesões acometendo predominantemente vias aéreas • Forma bronquiectásica nodular (síndrome de Lady Windermere): doença que ocorre predominantemente em mulheres brancas, na pós-menopausa, sem história de doença pulmonar preexistente, frequentemente causada por espécies do CMA e associada a bronquiectasias, nódulos centrolobulares agrupados com aspecto de árvore em brotamento, nódulos e/ou consolidações.",268,What is the most common cause of TB?
entre_outras_protocolo_1.txt,As alterações predominam no lobo médio e língula.,269,What do alteraçes predominate no lobo médio e lingula?
entre_outras_protocolo_1.txt,"Essas pessoas têm maior prevalência de anormalidades da caixa torácica, incluindo pectus excavatum e escoliose.",270,What are the most common anormalities in the caixa torácica?
entre_outras_protocolo_1.txt,"As lesões podem ter comportamento indolente, não sofrendo modificações significativas, ou evoluir lentamente.",271,What do leses do that can cause them to be indolente?
entre_outras_protocolo_1.txt,Pessoas com alterações mais extensas podem apresentar pequenas cavidades.,272,What do pessoas with alteraçes more extensas do?
entre_outras_protocolo_1.txt,"Essa síndrome também é passível de ocorrer em homens e pode ser causada por outras micobactérias. • Também comum em pessoas com bronquiectasias préexistentes, a exemplo de pessoas com fibrose cística ou bronquiectasias em zona de pneumonite actínica. 5.2 Alterações de aspecto fibrocavitário Na maioria dos casos, têm aspecto indistinguível daquele da TB.",273,What is the syndrome passvel de ocorrer em homens?
entre_outras_protocolo_1.txt,"Essas lesões evoluem de forma crônica, com piora progressiva quando não tratadas.",274,What is the progress of lesses?
entre_outras_protocolo_1.txt,"Alguns autores descrevem a presença de cavidades com paredes finas na doença por espécies do CMA e M. kansasii. • Em cicatriz de TB ou em bolhas de enfisema: lesões cavitárias com consolidações, estrias fibroatelectásicas e opacidades centrolobulares, predominando na metade superior dos pulmões, semelhantes às da TB ativa.",275,What is the predominant pulma of TB?
entre_outras_protocolo_1.txt,"Em pessoas com cicatrizes de TB, as alterações relacionadas a MNT podem não ser reconhecidas em meio ao desarranjo arquitetural pulmonar. • Semelhantes às da TB em pulmão previamente normal: cavidades, consolidações e estrias fibroatelectásicas predominando na metade superior dos pulmões. 5.3 Forma disseminada • Em pessoa imunodeprimida: a presença da doença disseminada raramente envolve doença pulmonar exuberante e a radiografia de tórax pode ser normal.",276,What is the radiografia of tórax?
entre_outras_protocolo_1.txt,"A doença manifesta-se por linfonodomegalias mediastinais e retroperitoniais, hepatoesplenomegalia, além de derrame pleural e opacidades parenquimatosas difusas.",277,What is the doença manifesta-se by?
entre_outras_protocolo_1.txt,"A doença por MNT pode estar associada à síndrome de reconstituição imune relacionada ao uso de medicamentos antirretrovirais, manifestada por exacerbação das lesões. 5.4 Outras formas • Nódulos ou massas parenquimatosas pulmonares. • Reação de hipersensibilidade: nódulos centrolobulares mal definidos, opacidade em vidro fosco e lóbulos secundários hiperinsuflados.",278,What is the syndrome of reconstituiço imune relacionada ao uso de medicamentos antirretrovirais?
entre_outras_protocolo_1.txt,As características tomográficas das lesões podem auxiliar no diagnóstico.,279,What is the name of the diagnostico?
entre_outras_protocolo_1.txt,"Para a análise histopatológica, depois de separado o material para cultura, as amostras teciduais adquiridas por biópsias devem ser fixadas em formol a 10% e encaminhadas a um laboratório de anatomia patológica.",280,What is the percentage of amostras teciduais adquiridas by biópsias?
entre_outras_protocolo_1.txt,"A coloração utilizada para a análise morfológica é a de hematoxilina e eosina (H&E), além de técnicas especiais de colorações como Ziehl-Neelsen e ácido periódico de Schiff (PAS) para visualização dos bacilos.",281,What is the coloraço used for análise morfológica?
entre_outras_protocolo_1.txt,"A pesquisa de DNA também pode ser realizada nas amostras mesmo após anos, em tecidos armazenados em blocos de parafina, o que é importante para estudos retrospectivos. e linfonodos.",282,What is important for estudos retrospectivos?
entre_outras_protocolo_1.txt,"No entanto, lesões características também podem ser evidenciadas em estômago, fígado, baço, intestino grosso, bexiga, pele e partes moles. tuberculosas são úteis para o diagnóstico diferencial (Ver Anexos D e E).",283,What are some of the lesses that can be evidenciadas?
entre_outras_protocolo_1.txt,"Técnicas moleculares, juntamente com os achados clínico-patológicos, podem ajudar no diagnóstico preciso de infecções causadas por MNT (14,68). 6.1 Características histopatológicas das doenças por MNT A infecção por MNT manifesta-se como nódulos pulmonares em pessoas imunocompetentes, caracterizados por inflamação granulomatosa necrosante contendo BAAR, e o quadro histológico resultante é distinto daquele da TB (69,70).",284,What is the symptom of TB?
entre_outras_protocolo_1.txt,"Esses granulomas necrosantes da doença pulmonar por MNT geralmente mostram necrose suja, devido ao extravasamento do conteúdo celular para o tecido adjacente, também conhecida como necrose caseosa.",285,What is the name of the necrose caseosa?
entre_outras_protocolo_1.txt,"Podem apresentar, além disso, necrose supurativa e vasculite com células gigantes multinucleadas proeminentes, imitando granulomatose com poliangite (Wegener) (72). imunocomprometidos, que frequentemente têm doença disseminada, especialmente aquelas causadas por espécies do CMA, apresentam histiócitos com inúmeras micobactérias intracitoplasmáticas, que podem se apresentar em aglomerados.",286,What is necrose supurativa and vasculite?
entre_outras_protocolo_1.txt,"Nesses casos, os granulomas geralmente são ausentes ou malformados (73).",287,What is the granulomas geralmente ausentes or malformados?
entre_outras_protocolo_1.txt,"Nas amostras citológicas, a semelhança de células fortemente infectadas por MNT com células de Gaucher levou ao apelido de “células pseudogaucher” (74).",288,What is the name of the células pseudogaucher?
entre_outras_protocolo_1.txt,"Na técnica de Romanovsky ou Diff-Quick, as células podem conter “imagens negativas”, isto é, coram (75).",289,What is the name of the célula that is negative?
entre_outras_protocolo_1.txt,"A alta carga de organismos nos histiócitos, a ausência de granulomas e a associação com estado imunocomprometido e doença disseminada é semelhante, em muitos aspectos, a formas de doenças fúngicas, como a histoplasmose disseminada (76).",290,What is the symbiotic relationship between organisms and their imunocomprometid?
entre_outras_protocolo_1.txt,A infecção por M. kansasii no pulmão pode se manifestar com necrose e inflamação granulomatosa (77).,291,What is the name of the plant that causes necrose?
entre_outras_protocolo_1.txt,Foi observado que a necrose nos casos com granulomas geralmente mostra detritos nucleares proeminentes e neutrófilos.,292,What is the name of the granulomas that cause necrose?
entre_outras_protocolo_1.txt,"Em pessoas com aids, camadas de histiócitos têm sido descritas como idênticas às observadas na infecção por espécies do CMA (75). diagnóstico (69).",293,What is the name of the aid that can be used to help diagnose a patient?
entre_outras_protocolo_1.txt,"A demonstração histológica de BAAR em granulomas é ainda mais significativa do que a positividade da cultura de tais amostras, uma vez que fornece inflamatória esperada.",294,What is the most important sign of BAAR?
entre_outras_protocolo_1.txt,"Assim, a importância da demonstração histológica de BAAR dentro da necrose e da inflamação granulomatosa não deve ser desconsiderada.",295,What is the importance of the demonstration of histológica?
entre_outras_protocolo_1.txt,"Dessa forma, deve-se considerar como forte evidência (14,78): • A presença de inflamação granulomatosa em biópsia pulmonar, mesmo sem demonstração de BAAR, com cultura positiva; • Cultura positiva para MNT de uma biópsia pulmonar e inflamação granulomatosa, com ou sem BAAR. necrosantes justifica o diagnóstico de tuberculose.",296,What is the main reason for the diagnosis of tuberculosis?
entre_outras_protocolo_1.txt,"Esse conceito é impreciso, pois causada por MNT (69,79).",297,What is the origin of MNT's conceito?
entre_outras_protocolo_1.txt,A descoberta de micobactérias em pseudotumores de de doença por CMA do que de TB (79).,298,What is the name of the bacteria that is a pseudotumor?
entre_outras_protocolo_1.txt,"Não há evidências de que diferenças de morfologia, tamanho, espessura ou distribuição em lençol dos bacilos distingam de maneira confiável M. tuberculosis de MNT na coloração para BAAR, em preparações de tecido fixado em formalina e embebido em parafina.",299,What are some of the differences in the bacilos?
entre_outras_protocolo_1.txt,"Achados de morfologia bacteriana distinta em aglomerados álcool-ácido resistentes foram principalmente observados em pequenas séries de infecções por MNT (causadas principalmente por M. kansasii), sem uma comparação cega com M. tuberculosis (77).",300,What bacteria is most commonly observed in aglomerados alcool-ácido resistentes?
entre_outras_protocolo_1.txt,Alguns estudos que observaram diferenças morfológicas na reação tecidual (como tipo de necrose ou células gigantes) geralmente incluíram apenas casos de doença por MNT em hospedeiros imunocomprometidos (71).,301,What are some examples of morfológicas that are found in a reaço tecidual?
entre_outras_protocolo_1.txt,"Em conclusão, a distinção definitiva entre M. tuberculosis e MNT é clinicamente desejável.",302,What is the difference between M. tuberculosis and MNT?
entre_outras_protocolo_1.txt,"Porém, dependendo da relação clínico-epidemiológica, deve-se obter e submeter o tecido fresco para análise de culturas.",303,What is the tecido fresco for análise de culturas?
entre_outras_protocolo_1.txt,"Alternativamente, a PCR pode ser realizada em tecido fixado em formalina, nos casos em que a amostra não é viável (80). 7 7 Muitas pessoas com doença por MNT são inicialmente tratadas para tuberculose, devido à presença de BAAR no escarro ou LBA ou por teste terapêutico para TB, pela semelhança do quadro clínico e das lesões pulmonares aos exames de imagem. consideração a apresentação da doença, a possibilidade de colonização e o risco versus benefício do tratamento, considerando a condição clínica apresentada, o tempo de tratamento, a possibilidade de cura e a toxicidade dos fármacos.",304,What is the PCR procedure for TB?
entre_outras_protocolo_1.txt,"Pessoas imunocompetentes costumam apresentar doença lentamente progressiva, tratamento específico.",305,"What did imunocompetentes costumam apresentar doença lentamente progressiva, tratamento especfico?"
entre_outras_protocolo_1.txt,"Por outro lado, pessoas severamente imunodeprimidas, com doença disseminada e de padrão tomográfico compatível com MNT, necessitam imediata instituição de esquema terapêutico para a micobacteriose, inclusive tratamento empírico.",306,What is the treatment for a micobacteriose?
entre_outras_protocolo_1.txt,"Para a escolha do tratamento mais adequado, é necessária a identificação da espécie e a realização de TS.",307,What is the need for a better escolha of TS?
entre_outras_protocolo_1.txt,"Porém, é importante ressaltar que o valor clínico do TS aos fármacos para as MNT ainda é incerto, muitas vezes não havendo correlação entre os resultados in vivo e in vitro (ver capítulos sobre diagnóstico). 7.1 Critérios necessários para iniciar o tratamento de 7.1.1 Clínicos e radiológicos (ambos requeridos) Sintomas pulmonares e opacidades nodulares ou cavitárias à radiografia de tórax, ou TC de tórax com opacidades nodulares centrolobulares e/ou bronquiectasias 7.1.2 Microbiológicos expectorado.",308,What is the criterion for determining the treatment of tórax?
entre_outras_protocolo_1.txt,"Se os resultados não forem diagnósticos, considerar repetir baciloscopias (inflamação granulomatosa ou visualização de BAAR) e cultura positiva para MNT no Quando a MNT encontrada é infrequente ou decorre de contaminação ambiental, recomenda-se consultar especialista em unidade de referência ou médicos validadores para tomada da decisão sobre a necessidade ou não de tratamento. estabelecido ou excluído.",309,What is the main reason for MNT?
entre_outras_protocolo_1.txt,"Em pessoas HIV negativas, a doença adequado de duas amostras de escarro, necessárias para o diagnóstico.",311,What is the need for a diagnosis of HIV negative?
entre_outras_protocolo_1.txt,"Os critérios da ATS/IDSA foram baseados na experiência com patógenos respiratórios comuns e bem descritos, como MAC, M. kansasii e M. abscessus (64).",312,"What were the MAC, M. kansasii and M. abscessus?"
entre_outras_protocolo_1.txt,"Existe a possibilidade de colonização do trato respiratório por MNT, sem doença evolutiva.",313,What is the possibilidade of colonizaço do trato respiratório por MNT?
entre_outras_protocolo_1.txt,Essas pessoas devem ser seguidas para confirmação ou refutação do diagnóstico de doença pulmonar por MNT.,314,What is the purpose of a pessoa?
entre_outras_protocolo_1.txt,"O tratamento de patologias subjacentes deve ser otimizado antes de se tomar a decisão sobre o tratamento de MNT. no próprio laboratório, incluindo contaminação da amostra clínica.",315,What is the treatment of MNT?
entre_outras_protocolo_1.txt,"Por isso a necessidade de mais de uma cultura positiva para MNT em amostra não estéril. nodular bronquiectásica, mas incapazes de produzir escarro para exame, uma amostra obtida por fibrobroncoscopia é considerada adequada para diagnóstico. doença pulmonar por MNT, mas não apresenta doença progressiva ou suficientemente grave para justificar terapia medicamentosa, como quando há repetidos isolamentos de MNT de baixa virulência ou espécies associadas com contaminação.",316,What is the need for a positive cultura for MNT?
entre_outras_protocolo_1.txt,"Em imunocompetentes que apresentam lesão por MNT semelhante à da TB, acompanhada de critérios clínicos e laboratoriais, o tratamento não deve ser postergado.",317,What is the treatment for TB?
entre_outras_protocolo_1.txt,"Em imunocompetentes com forma bronquiectásica nodular, o risco de progressão da doença e indicação de iniciar do tratamento devem ser considerados, avaliando os seguintes aspectos: • Aumento da frequência de culturas positivas x negativas; • Achados de TC de tórax indicando progressão da doença, como aumento das lesões e surgimento de cavidades.",318,What is the risk of progressing a bronquiectásica nodular?
entre_outras_protocolo_1.txt,Na Figura 1 apresenta-se o algoritmo para indicação de tratamento das doenças por MNT em imunocompetentes.,319,What is the algoritm for indicating the treatment of doenças by MNT?
entre_outras_protocolo_1.txt,"A condição imunossupressora deve ser eliminada quando possível (p. ex., uso de imunobiológico).",321,What is the condiço imunossupressora?
entre_outras_protocolo_1.txt,"Nas pessoas com aids sem confirmação diagnóstica, deve ser dada cobertura tanto para TB como CMA, quando houver necessidade de tratamento empírico. 7.4 Fatores para decidir sobre o tratamento em casos No caso de lesão por hipersensibilidade, a necessidade de tratamento varia de acordo com a gravidade do caso.",322,What is the difference between TB and CMA?
entre_outras_protocolo_1.txt,"A pessoa com pneumonite de hipersensibilidade deve evitar a fonte de exposição, quando conhecida.",323,What is the name of the pneumonite?
entre_outras_protocolo_1.txt,"Nessa situação, apesar de a radiografia de tórax demonstrar as lesões, a TC de tórax permite melhor detalhamento para diagnóstico e seguimento. 7.5 Tratamento medicamentoso 7.5.1 Considerações iniciais de MNT mais prevalentes em nosso meio, frequentemente relacionadas à doença pulmonar e/ou extrapulmonar.",324,What is the most common MNT in the US?
entre_outras_protocolo_1.txt,"Para as espécies de MNT de menor prevalência, considerar como base de tratamento, para MCL, as recomendações terapêuticas para CMA (Quadro 8) e, para MCR, as recomendações terapêuticas para M. abscessus (Quadro 10).",325,What is the base of treatment for MNT?
entre_outras_protocolo_1.txt,"Em vista da falta de evidências científicas por ensaios clínicos controlados, recomenda-se a consulta aos guias internacionais de referência (14,32,64) para verificar as especificidades terapêuticas para as MNT de menor prevalência.",326,What is the especificity of the MNT?
entre_outras_protocolo_1.txt,"Quando o diagnóstico da doença for altamente sugestivo de MNT, principalmente em imunodeprimidos com doença disseminada, indica-se empregar o esquema básico para TB com acréscimo de Cla, até que o diagnóstico seja confirmado com exames bacteriológicos (TRM-TB, baciloscopia, cultura, identificação da espécie).",327,What is the symptom of TB?
entre_outras_protocolo_1.txt,"Dessa forma, o tratamento cobrirá M. tuberculosis e MCL.",328,What is the treatment for M. tuberculosis?
entre_outras_protocolo_1.txt,"Manter R, H, E e Cla após a fase de ataque até confirmação do diagnóstico. 7.5.2 Esquemas terapêuticos para as espécies de MNT mais fre- Apresenta-se a seguir o tratamento para as espécies de MNT mais frequentes no Brasil.",329,What is the treatment for MNT that is more frequent in Brazil?
entre_outras_protocolo_1.txt,"Quadro 8 – Tratamento de doença por espécies do CMA(a) R ou R + H em dose fixa Geral, sem complicações combinada (RH) 12 meses após a conversão bacteriológica ou 18 meses de tratamento, quando houver Am (entre 3 a 6 meses, dependendo da evolução clínica) Fonte: CGDR/DCCI/SVS/MS. (a) Espécies: M. avium, M. intracellulare, M. chimaera, M. colombiense, M. arosiense, M. vulneris, M. bouchedurhonense, M. timonense, M. marseillense, M. yongonense, M. paraintracellulare e M. lepraemurium) (81).",331,What is the smallest bacterium that can be treated with a CMA?
entre_outras_protocolo_1.txt,"Nessas situações, recomenda-se estabelecer o esquema de tratamento juntamente com os validadores do SITE-TB. • Em PVHIV, quando houver incompatibilidade da utilização de R com os antirretrovirais, utilizar Rfb. • Na indicação de uso de Am, se houver dificuldade de administração de medicação injetável, considerar a utilização inalatória com nebulizador e uso diário.",333,What is the best way to treat PVHIV?
entre_outras_protocolo_1.txt,"Diluir um frasco de Am em 5mL de soro fisiológico 0,9%. • Em pessoas acima de 60 anos ou com comorbidades que possam comprometer a função renal, usar meia dose de Am.",335,What is the dose of Am?
entre_outras_protocolo_1.txt,"Quadro 9 – Tratamento de doença por M. kansasii Geral, sem complicações RH (quando sensível a R) E Geral, sem complicações (quando resistente a R) 12 meses após a conversão bacteriológica ou 18 Geral, sem complicações RH meses de tratamento, (na ausência de teste de E quando houver suscetibilidade) Cla impossibilidade de coleta Am (entre 3 e 6 meses, dependendo da evolução clínica) Fonte: CGDR/DCCI/SVS/MS.",336,What is the bacteriológica of M. kansasii Geral?
entre_outras_protocolo_1.txt,"Observações: • Na apresentação geral, quando a cepa for sensível a R, na impossibilidade de utilizar H, substituí-la por Cla. • Outros medicamentos para a composição de esquemas individualizados, em caso de intolerância, alergia ou falência: Az, estreptomicina (S), Mfx, Cpx/Lfx, Rfb (somente em casos resistentes a R e sensíveis à Rfb, pela alta resistência cruzada) e SMT/TMP.",337,What is the name of the drug that is used to make a compositio of esquemas individualizados?
entre_outras_protocolo_1.txt,"Nessas situações, recomenda-se estabelecer o esquema de tratamento juntamente com os validadores do SITE-TB. • Em PVHIV, quando houver incompatibilidade da utilização de R com os antirretrovirais, utilizar Rfb. • Na indicação de uso de Am, se houver dificuldade de administração injetável, considerar a utilização inalatória com nebulizador com uso diário. • Em pessoas acima de 60 anos ou com comorbidades que possam comprometer a função renal, usar meia dose de Am.",338,What is the best way to treat PVHIV?
entre_outras_protocolo_1.txt,"Quadro 10 – Tratamento de doença por bactérias do grupo M. abscessus(a) Fase de ataque: Am injetável (3x/semana) Entre 1 a 3 meses (dependendo da evolução clínica) Fase de manutenção: 12 meses após a conversão Am inalatória bacteriológica ou 18 meses Cla de tratamento, quando Fonte: CGDR/DCCI/SVS/MS. (a) Subespécies: M. abscessus abscessus, M. abscessus massiliense e M. abscessus bolletii (82).",339,What is the font of treatment?
entre_outras_protocolo_1.txt,"Observações: • Em caso de esquemas individualizados, recomenda-se estabelecer o esquema de tratamento juntamente com os validadores do SITE-TB. • Quando a cepa for resistente a Cla, avaliar individualmente o esquema de tratamento, juntamente com o validador do caso no SITE-TB. • Em pessoas acima de 60 anos ou com comorbidades que possam comprometer a função renal, usar meia dose de Am.",340,What is the best way to treat a TB patient?
entre_outras_protocolo_1.txt,"Para outras MNT não descritas, o esquema de tratamento deverá ser avaliado individualmente, juntamente com o validador do caso no SITE-TB. 7.5.3 Reações adversas aos medicamentos utilizados no trata- Quadro 12 – Reações adversas e respectivos manejos Am (IM ou EV) • Monitorar a função renal, duas vezes ao mês, nos primeiros dois meses de tratamento.",341,What is the name of the medication used in the treatment?
