Arquivo,Parágrafo,Número do parágrafo,Pergunta
adenovirus_guia_1txt_guiavsa2023.txt,Diversas famílias de vírus respiratórios estão bem adaptadas à eficiente transmissão pessoa a pessoa e circulam em escala global.,2,question: What do familias de vrus respiratórios do?
adenovirus_guia_1txt_guiavsa2023.txt,"Os vírus influenza, vírus sincicial respiratório, vírus parainfluenza, metapneumovírus, rinovírus, coronavírus, adenovírus e bocavírus são os que circulam mais comumente em todos os continentes como agentes endêmicos, epidêmicos ou pandêmicos (Boncristiani; Criado; Arruda, 2009).",3,question: What are some of the most common diseases?
adenovirus_guia_1txt_guiavsa2023.txt,"A vigilância de influenza foi implantada em 2000, por meio da vigilância sentinela de síndrome gripal (SG), e a vigilância universal da síndrome respiratória aguda grave (Srag) foi implantada em 2009, com a pandemia da influenza A(H1N1)pdm09.",4,question: What was the name of the vigilance that was implanted in 2000?
adenovirus_guia_1txt_guiavsa2023.txt,"Pela característica sindrômica da doença, outros vírus respiratórios também eram pesquisados, permitindo o alcance dos objetivos dessa vigilância com a identificação, o respiratórios de importância em saúde pública, no Brasil e nas suas diferentes regiões geográficas.",5,question: What are the respiratórios of importância in Brazil?
adenovirus_guia_1txt_guiavsa2023.txt,"Desde janeiro de 2020, essa vigilância foi utilizada para a vigilância da covid-19, tanto as unidades sentinelas de SG como a vigilância da Srag.",6,question: What was the purpose of the covid-19 vigilance?
adenovirus_guia_1txt_guiavsa2023.txt,"Nos primeiros meses da pandemia, as ações de monitoramento eram executadas no Centro de Operações de Emergência (COE) para a covid-19.",7,question: What was the purpose of the monitoring?
adenovirus_guia_1txt_guiavsa2023.txt,Essa mudança fez com que o Brasil fosse um dos países pioneiros a integrar a vigilância da covid-19 com a vigilância da influenza.,9,question: What is the reason for the mudança?
adenovirus_guia_1txt_guiavsa2023.txt,"Este Guia traz a primeira versão do Guia de Vigilância Integrada da Covid-19, Influenza e Outros Vírus Respiratórios de Importância em Saúde Pública.",12,question: What is the name of the first guide?
adenovirus_guia_1txt_guiavsa2023.txt,Não se trata da quinta versão do Guia de Vigilância da Covid-19.,13,question: What is the name of the book that was published in the year 1939?
adenovirus_guia_1txt_guiavsa2023.txt,"COVID-19, INFLUENZA E OUTROS 1.1 INTRODUÇÃO A rede mundial de vigilância de vírus respiratórios, com ênfase na vigilância do vírus influenza, teve início em 1952.",14,question: What is the name of the virus that is a symptom of influenza?
