Arquivo,Parágrafo,Número do parágrafo,Pergunta
adenovirus_guia_1txt_guiavsa2023.txt,"Apesar de ter discutido os possíveis cenários de introdução do vírus na população humana, e a probabilidade de cada um ter acontecido, o estudo não encontrou resultados concretos (WHO, 2021a).",98,question: What did the WHO study not produce?
adenovirus_guia_1txt_guiavsa2023.txt,"Dessa forma, até a publicação deste documento, não foi confirmado o reservatório do SARS-CoV-2. ` MODO DE TRANSMISSÃO O SARS-CoV-2 espalha-se, principalmente, quando uma pessoa infectada está em contato próximo com outra pessoa (por exemplo, em uma conversa).",99,question: What is the SARS-CoV-2's status?
adenovirus_guia_1txt_guiavsa2023.txt,"No entanto, a transmissibilidade do vírus depende da carga viral, o tipo de contato que a pessoa tem com a outra, o ambiente e o tipo de medidas de prevenção e controle presentes (WHO, 2021b). líquidas, expelidas quando a pessoa tosse, espirra, canta, respira ou fala.",100,question: What is the vrus's transmissions?
adenovirus_guia_1txt_guiavsa2023.txt,"Essas partículas respiratórias podem ser de maior tamanho, chamadas de gotículas, ou partículas mais leves e menores que as gotículas, chamadas de aerossóis (WHO, 2021b).",101,question: What is the name of the particulas that can be referred to as tamanho?
adenovirus_guia_1txt_guiavsa2023.txt,"GUIA DE VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS As gotículas têm tamanho maior que 5 µm e podem atingir a via respiratória alta, ou seja, mucosa das fossas nasais e mucosa da cavidade bucal.",102,question: What is the name of the INTEGRADA?
adenovirus_guia_1txt_guiavsa2023.txt,"Já os aerossóis são partículas menores e mais leves que as gotículas, que permanecem suspensas no ar por longos períodos e, quando inaladas, podem penetrar mais profundamente no trato respiratório (Brasil, 2023d).",103,question: What is the effect of aerossois on the respiratory system?
adenovirus_guia_1txt_guiavsa2023.txt,"A maioria das partículas respiratórias expelidas por uma pessoa (>99%) são gotículas, que, por terem maior tamanho, disseminam-se por uma distância menor (geralmente por menos de 1 metro de distância) e não se mantêm suspensas no ar (WHO, 2023b).",104,question: What is the rate of respiration?
adenovirus_guia_1txt_guiavsa2023.txt,"A OMS define a transmissão da SARS-CoV-2 entre as pessoas de três maneiras diferentes (WHO, • A transmissão por contato é a transmissão da infecção por meio do contato direto com uma pessoa infectada (por exemplo, durante um aperto de mão seguido do toque nos olhos, no nariz ou na boca) ou com objetos e superfícies contaminadas (fômites). • A transmissão por gotículas é a transmissão da infecção por meio da exposição a gotículas respiratórias expelidas, contendo vírus, por uma pessoa infectada quando ela tosse, espirra, fala, respira ou canta, principalmente, quando ela se encontra a menos de 1 metro de distância de outra pessoa.",105,question: What is the definition of a SARS-CoV-2?
adenovirus_guia_1txt_guiavsa2023.txt,"Essas gotículas infecciosas então se depositam nas membranas mucosas expostas na boca, no nariz ou nos olhos da outra pessoa, causando infecção. • A transmissão por via aérea é a transmissão da infecção por meio de partículas respiratórias menores (aerossóis) contendo o vírus, que podem permanecer suspensas no ar e ser inaladas a uma curta distância (geralmente menos de 1 metro de distância), chamada de transmissão aérea de curta distância, ou que podem se manter suspensas no ar por distâncias maiores que 1 metro e por períodos mais longos (geralmente horas), chamada de transmissão aérea de longa distância.",106,question: What is the cause of infecço?
adenovirus_guia_1txt_guiavsa2023.txt,"Devido aos diversos fatores que afetam a eficiência da transmissão por fômites (por exemplo, a quantidade de vírus expelido pela pessoa infectada, o tempo entre a contaminação da superfície e o contato, a ventilação no ambiente, ou outros fatores ambientais que podem diminuir a concentração do vírus na superfície), o risco desta forma de transmissão é considerado baixo, quando comparado com o risco de contato direto, transmissão por gotícula ou por via aérea.",107,question: Os fatores ambientais que podem diminuir a concentraço do vrus na superfcie?
